group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-8570.6148,0.0,-12312.1843,-4829.0452,True
sp0.50,sp0.70,-9319.5276,0.0,-13046.5678,-5592.4874,True
sp0.50,sp0.80,-9426.0043,0.0,-13152.7391,-5699.2695,True
sp0.50,sp0.90,-9439.0976,0.0,-13165.8264,-5712.3689,True
sp0.50,sp1.00,-9454.371,0.0,-13181.0994,-5727.6425,True
nos,sp0.50,1653.7286,0.4837,-3074.3489,6381.8061,False
sp0.60,sp0.70,-748.9129,0.0001,-1085.3212,-412.5045,True
sp0.60,sp0.80,-855.3895,0.0,-1188.3975,-522.3815,True
sp0.60,sp0.90,-868.4829,0.0,-1201.4228,-535.5429,True
sp0.60,sp1.00,-883.7562,0.0,-1216.6923,-550.8201,True
nos,sp0.60,-6916.8862,0.0,-9845.5478,-3988.2246,True
sp0.70,sp0.80,-106.4767,0.0001,-155.2669,-57.6864,True
sp0.70,sp0.90,-119.57,0.0,-167.8936,-71.2464,True
sp0.70,sp1.00,-134.8433,0.0,-183.1406,-86.5461,True
nos,sp0.70,-7665.799,0.0,-10575.8755,-4755.7226,True
sp0.80,sp0.90,-13.0933,0.0013,-20.7687,-5.418,True
sp0.80,sp1.00,-28.3667,0.0,-35.8742,-20.8592,True
nos,sp0.80,-7772.2757,0.0,-10681.961,-4862.5904,True
sp0.90,sp1.00,-15.2733,0.0,-18.5966,-11.95,True
nos,sp0.90,-7785.369,0.0,-10695.0466,-4875.6915,True
nos,sp1.00,-7800.6424,0.0,-10710.3195,-4890.9653,True
